ID,Title,Company,Locations,Salary String,Min Salary,Max Salary,Source,URL,Publication Date,Category,Description
jobicy-146782,Transportation Logistics Specialist,Nebius,Europe,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146782-transportation-logistics-specialist,2026-06-16T04:07:18+00:00,Engineering & Tech,"About Nebius: Nebius is leading a new era in cloud infrastructure for the global AI economy. We are building a full-stack AI cloud platform that supports developers and enterprises from data and model training through to production deployment, without the cost and complexity of building large in-hou"
jobicy-146778,Principal Statistician Consultant-R&I (Respiratory & Immunology) REMOTE@EU/UK,ClinChoice,"Europe,  UK","$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146778-principal-statistician-consultant-ri-respiratory-immunology-remoteeu-uk,2026-06-16T04:07:15+00:00,Data & Analytics,Are you interested in working directly for a single sponsor while having the security and additional career opportunities that working for a global CRO can bring? Our team says it’s the best of both worlds…. ClinChoice is searching for a Principal Biostatistician Consultant to join one of our client
jobicy-146762,Principal DevOps Engineer,Zartis,Europe,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146762-principal-devops-engineer,2026-06-16T04:07:05+00:00,Engineering & Tech,"The company and our mission: Zartis is a global AI transformation and technology consulting partner where talented engineers and technologists work on cutting-edge innovation. We partner with ambitious organizations to design, build, and scale technology solutions that deliver real impact. Our teams"
jobicy-146754,Head of Risk and Compilance,Zartis,Europe,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146754-head-of-risk-and-compilance,2026-06-16T04:06:59+00:00,Legal & Compliance,"The company and our mission: Zartis is a global AI transformation and technology consulting partner where talented engineers and technologists work on cutting edge innovation. We partner with ambitious organizations to design, build, and scale technology solutions that deliver real impact. Our teams"
jobicy-146751,Customer Success Manager,Enode,"Europe,  Norway","$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146751-customer-success-manager-38,2026-06-16T04:06:57+00:00,Other Professional,"About Enode The grid was built for predictable, centralised power. Today it's absorbing intermittent supply from grid scale solar and wind, alongside dynamic demand from EVs, heat pumps, and home batteries. The missing piece is software that can connect and orchestrate these devices at scale. Enode "
jobicy-146746,Senior Product Engineer (Europe),Polar,Europe,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146746-senior-product-engineer-europe,2026-06-16T04:06:53+00:00,Engineering & Tech,"About Polar It’s never been easier to build, ship, and scale software. Yet, it's never been harder to monetize software. It's a bottleneck for the future. We're building the open-source monetization platform to empower future one-developer unicorns. Going beyond great billing primitives to offer a m"
jobicy-146743,Sales Manager – Weather & Climate (EMEA & APAC),Spire,Europe,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146743-sales-manager-weather-climate-emea-apac,2026-06-16T04:06:51+00:00,Sales & Account Management,"We are seeking an ambitious, self-directed Sales Manager to accelerate revenue growth across EMEA and APAC and advance the digitization of the global weather and climate ecosystem. Operating with the autonomy of a regional owner, you will expand Spire’s market presence across key industry segments, "
jobicy-146725,Engagement Manager,Pogo,USA,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146725-engagement-manager,2026-06-16T03:56:19+00:00,Product & Project Management,"About your role We're hiring our first Engagement Manager at Pogo to own client relationships from signed deal to growing partnership. As an Engagement Manager, you'll be a trusted partner to our enterprise clients, running end-to-end research engagements and translating Pogo's AI-powered platform i"
jobicy-146712,Risk Control Consultant (Specialist),"Church Mutual Insurance Company, S.I.",USA,"$150,000 - $180,000 (Est. Senior Market Rate)",150000,165000,Jobicy,https://jobicy.com/jobs/146712-risk-control-consultant-specialist,2026-06-16T03:56:04+00:00,Engineering & Tech,What you'll be doing: Provide risk control services to Church Mutual customers and prospective accounts for a specific market segment. Represent Risk Control at service capability presentations and customer onboarding sessions. Analyze data to determine gaps in risk control services/materials to the
jobicy-146922,"Peerless Pump District Sales Manager – Regional Sales Northwest, US",Grundfos,USA,"$105,200 - $163,895",105200,163895,Jobicy,https://jobicy.com/jobs/146922-peerless-pump-district-sales-manager-regional-sales-northwest-us,2026-06-16T16:05:31+00:00,Sales & Account Management,"Are you a seasoned sales professional with expertise in pumps and water systems, ready to drive growth across Industry and Water Utility markets? Then join us in our mission to pioneer smarter solutions for moving and transforming water, reducing energy consumption, and enhancing quality of life for"
jobicy-146932,"Business Intelligence Lead, Performance Marketing",Launch Potato,USA,"$120,000 to $150,000 per year",120000,150000,Jobicy,https://jobicy.com/jobs/146932-business-intelligence-lead-performance-marketing,2026-06-16T16:05:47+00:00,Data & Analytics,"WHO ARE WE? Launch Potato is a profitable digital media company that reaches over 30M+ monthly visitors through brands such as FinanceBuzz , All About Cookies , and OnlyInYourState . As The Discovery and Conversion Company, our mission is to connect consumers with the world’s leading brands through "
jobicy-146931,Lead Analytics Manager,Launch Potato,USA,"$120,000 to $150,000 per year",120000,150000,Jobicy,https://jobicy.com/jobs/146931-lead-analytics-manager,2026-06-16T16:05:46+00:00,Data & Analytics,"WHO ARE WE? Launch Potato is a profitable digital media company that reaches over 30M+ monthly visitors through brands such as FinanceBuzz , All About Cookies , and OnlyInYourState . As The Discovery and Conversion Company, our mission is to connect consumers with the world’s leading brands through "
jobicy-146930,Lead BI Developer,Launch Potato,USA,"$120,000 to $150,000 per year",120000,150000,Jobicy,https://jobicy.com/jobs/146930-lead-bi-developer,2026-06-16T16:05:44+00:00,Engineering & Tech,"WHO ARE WE? Launch Potato is a profitable digital media company that reaches over 30M+ monthly visitors through brands such as FinanceBuzz , All About Cookies , and OnlyInYourState . As The Discovery and Conversion Company, our mission is to connect consumers with the world’s leading brands through "
jobicy-146929,Lead BI Manager,Launch Potato,USA,"$120,000 to $150,000 per year",120000,150000,Jobicy,https://jobicy.com/jobs/146929-lead-bi-manager,2026-06-16T16:05:43+00:00,Data & Analytics,"WHO ARE WE? Launch Potato is a profitable digital media company that reaches over 30M+ monthly visitors through brands such as FinanceBuzz , All About Cookies , and OnlyInYourState . As The Discovery and Conversion Company, our mission is to connect consumers with the world’s leading brands through "
jobicy-146928,"Lead Data Analyst, Marketing",Launch Potato,USA,"$120,000 to $150,000 per year",120000,150000,Jobicy,https://jobicy.com/jobs/146928-lead-data-analyst-marketing-2,2026-06-16T16:05:41+00:00,Data & Analytics,"WHO ARE WE? Launch Potato is a profitable digital media company that reaches over 30M+ monthly visitors through brands such as FinanceBuzz , All About Cookies , and OnlyInYourState . As The Discovery and Conversion Company, our mission is to connect consumers with the world’s leading brands through "
